place,NOC,name
Strömsun,SWE,Strömsvalle
Sundsvall,SWE,Kubenbanan
Sverdlovsk,URS,
Sverdlovsk,URS,Tsentralnyi
Syktyvkar,RUS,Icerink Syktyvkar
Tallinn,EST,Kalevi Keskstaadion
Tambov,RUS,Tambov Stadion
Tampere,FIN,Ratina
Tilburg,NED,Ireen Wüst IJsbaa
Tolga,NOR,Tolga Idrettsplass
Tomakomai,JPN,Tomakomai Highland Sport Center
Tomaszów Mazowieck,POL,Arena Lodowa
Tomaszów Mazowieck,POL,Tor Pilica Tomaszów Mazowieck
Tønsber,NOR,Tønsberg Stadio
Trollhätta,SWE,Bandystadion Slättbergshalle
Trondheim,NOR,
Trondheim,NOR,Kalvskindet
Trondheim,NOR,Leangen Kunstis
Trondheim,NOR,�en Stadion
Trondheim,NOR,�ya Stadion
Trøms,NOR,Tromsdalen Kunstisbane
Chelyabinsk,RUS,Inga Stadion
Chelyabinsk,RUS,Spartak Stadion
Chelyabinsk,URS,Trud
Chelyabinsk,RUS,Uralskaja Molnija (Uralblitz)
Cherepovets,RUS,Metallurg Tsjerepovets
Chita,RUS,Stadion Zabajkalskij
Tula,RUS,Stadion Tula
Turin,ITA,Oval Lingotto
Turku,FIN,Kupittaan Pikaluistelurata
Tynset,NOR,Nytrømoen Idrettsplas
Ulan Bator,MGL,Central Stadium
Uppsala,SWE,Studenternas Idrottsplats�
�r�mqi,CHN,Silkroad
�r�mqi,CHN,Xinjiang Ice Sports Centre Oval
Ushuaia,ARG,Laguna Victoria Ushuaia
Utrecht,NED,De Vechtsebanen
Vaasa,FIN,Ravirata
Valkeakoski,FIN,Kerhomajan Luistinrata
Vänersbor,SWE,Isbanen Vänersbor
Väster�,NOR,Rocklunda
Väster�,NOR,Skallbergsplan
Veendam,NED,Promenadebaan
Verdal,NOR,Stadion Verdal
Vologda,RUS,Dinamo Stadion
Voss,NOR,Prestegardsmoen
Vyborg,FIN,Salakkalahti
Warmenhuizen,NED,unknown
Warsaw,POL,Tor Polonii
Warsaw,POL,Tor Stegny
Vienna,AUT,WEV-Eisbahn
West Allis,USA,State Fair Park
Winnipeg,CAN,Susan Auch Oval
Yamagata,JPN,Sogo Sport Center
Yatsugatake,JPN,Yatsugatake Skating Center
Zakopane,POL,Toporowy Staw Nizni
Zakopane,POL,Tor Cos
Zakopane,POL,Tor Cos new
Zerenda,KAZ,
Zoetermeer,NED,Silverdome
Züric,SUI,Dolder Kunsteisbahn
Zutphen,NED,Schaatsbaan van Z.Y.V.
Zwolle,NED,Wezenlanden
